worksheet_id,order_id,worksheet_channel,business_type_name,customer_type,dict_id,dict_name,justificativa,resolutividade,nps,comentario
360287970257385116,87965696993154.00,PHONE,Pop,driver,960001972,Bloqueado por Service Control,Solução do problema,Sim,8,Bom dia ?Ficou feliz em saber que a (99) olha pelo seus parceiros como ser humano e valoriza o empeNão de n¨®s motorista que com todo o risco que corremos mesmo assim procura se dedicar em ajudar em que poss¨ªvel. Meus parab¨¦ns (99) por reconhece as dificuldade que enfrentamos coisas que outro aplicativo ignoram .....
360287970257482995,0.00,CAT,Pop,driver,550172867,PayPaxx | Como solicito a segunda via?,Tempo de espera para ser chamado,Sim,10,
360287970257563994,87965716005891.00,SELF HELP,Pop,driver,550173447,Passageiro cancelou,AtendimeNão da equipe 99,Sim,10,
360287970257632955,87965707352577.00,SELF HELP,Pop,passenger,550175331,achados e perdidos,Tempo de espera para ser chamado,Sim,9,Have Não uma melhora em relação ¨opções de cancelamento Nãos seria um passo ¨à frente. Espero que voces cresçam  espaço para todos _ porém acima de TUDO_ A VIDA É MAIS IMPORTANTE QUE QUALQUER VALOR . Não TEM Cartão. 
360287970257669478,87965710694817.00,SELF HELP,Pop,passenger,960010960,Problemas de conex?o do motorista (GPS/Internet),Solução do problema,Não,1,Muito bom
360287970257873339,87965742296017.00,SELF HELP,Pop,passenger,550175163,Corrida Não aconteceu e fui cobrado,Solução do problema,Não,4,
360287970258014795,87965758441829.00,SELF HELP,Pop,passenger,550174451,Não coNãordo com a taxa de Cancelamento,AtendimeNão da equipe 99,Não,0,O meu pedido foi completamente ignorado_  eu fui roubado por vocês deletei o app e nunca mais o usarei. 
360287970258043531,87965762196205.00,SELF HELP,Pop,passenger,550174451,Não concordou com a taxa de cancelamento,AtendimeNão da equipe 99|Solução do problema|Tempo de espera para ser chamado,Não,0,
360287970258273168,87965783624828.00,HELP CENTER,Pop,driver,550173423,Passageiro Não pagou (dentro do carro),Solução do problema,Não,3,
360287970258383585,87965791967479.00,SELF HELP,Pop,passenger,550174995,Motorista Não apareceu | sem cobrança,Solução do problema,Não,0,
360287970258475536,87965800871788.00,HELP CENTER,Pop,driver,550173423,Passageiro Não pagou (dentro do carro),AtendimeNão da equipe 99,Sim,10,Vcs deveria dar mais antenção aos motorista 
360287970258563782,0.00,PHONE,Pop,passenger,550175831,Desconhecido a cobrança,AtendimeNão da equipe 99,Não,9,Não foi resolvido a Solução do meu problema em relação ao meu troco de R$37 90
360287970258594002,87964590733962.00,HELP CENTER,Pop,passenger,550174403,Como ¨¦ calculada a estimativa?,Solução do problema,Não,0,
360287970258885525,0.00,PHONE,Pop,driver,550172975,PayPaxx | Dados iNãorretos do Cartão99,Solução do problema,Não,1,As demora pra localizar motoristas 
360287970258927843,0.00,PHONE,Taxi,driver,550172635,Como altero minha categoria?,AtendimeNão da equipe 99,Não,8,Descaso total! Inclusive hoje solicitei uma corrida e a motorista simplesmente se maNãou para outra regi?o da cidade e deixou a corrida aberta. Ela visualizou as minhas mensagens_ fez de conta que Não era nada. E nem voc¨ºs me deram op??es e tentar denunciar_ na hora_ o acomteci
360287970258999570,0.00,CAT,Pop,driver,550172447,Quais s?o os requisitos para cadastrar meu veículo?,AtendimeNão da equipe 99,Não,0,O atendimento Não é bom e rápido_ mas o problema Não foi resolvido. Não que seja relevante_ mas estão perdeNão cliente. Já Não estava usabNão o App por causa desse problema_ agora Não vou nem manter o App_ s¨® ocupa espa?o.
360287970259003649,87965842465526.00,PHONE,Pop,passenger,550174451,Não coNãordo com a taxa de Cancelamento,Solução do problema,Não,4,
360287970259005192,87965842841102.00,SELF HELP,Pop,driver,550173375,Pediu rota espec¨ªfica e mudou o custo da viagem,AtendimeNão da equipe 99,Sim,10,
360287970259019661,0.00,CAT,Pop,driver,550172615,Como altero meu e-mail?,AtendimeNão da equipe 99|Solução do problema,Não,10,ótimo atendimento
360287970259033352,87965770565694.00,SELF HELP,Pop,passenger,550175271,Paguei duas vezes (voucher e dinheiro),AtendimeNão da equipe 99,Não,0,
360287970259034570,0.00,CAT,Pop,driver,550172963,PayPaxx | Não consigo desbloquear o cart?o,AtendimeNão da equipe 99,Sim,10,Atendimento ótimo
360287970259042011,0.00,PHONE,Pop,driver,960001492,Demora no pagameNão ou transfer¨ºncia banc¨¢ria,Solução do problema,Sim,10,Acho uma pena vcs classificarem um carro zero porte luxuoso com carro de. 10 anos de isso . Uma pena realmente . Terão um Onix 2020 sedan Cartão _ baNão de couro _ autom¨¢tico com wi fi .Pagar o mesmo valor que um uno simples .Mas enfim AttAndr¨¦ Lu¨ªs Silva 
360287970259049750,0.00,PHONE,Pop,driver,550172631,Como altero minha categoria?,Solução do problema,Sim,10,
360287970259050347,0.00,PHONE,Pop,driver,550172303,Não estou recebeNão chamadas,Solução do problema,Sim,2,
360287970259071594,87964428014115.00,HELP CENTER,Pop,passenger,550175103,Cadastro de Cartão- Falha indefinida,Solução do problema,Não,0,
360287970259095923,0.00,PHONE,Pop,driver,550172631,Como altero minha categoria?,AtendimeNão da equipe 99,Sim,10,Estou aguardaNão o estorno da corrida...depois dou minha opini?o 
360287970259200651,87965848481603.00,SELF HELP,Pop,driver,960001984,Não recebi pela corrida (Análise de CSI),Solução do problema,Não,0,A suposta Solução Não atende a Situação problema 
360287970259228790,87965859339725.00,HELP CENTER,Pop,passenger,550175271,Paguei duas vezes (voucher e dinheiro),Solução do problema,Não,2,Gostaria de ter recebido o retorno do que aconteceu quaNão solicitei o carro e Não apareceu_ afinal eu tinha um compromisso e me atrasei devido a esse problema.
360287970259238011,0.00,CAT,Taxi,driver,550172635,Como altero minha categoria?,AtendimeNão da equipe 99,Sim,9,AtendimeNão super r¨¢pido_ Solução imediata
360287970259247474,0.00,CAT,Pop,driver,550173123,Entrega de brinde,AtendimeNão da equipe 99,Sim,10,Estou tentaNão reembolso de uma corrida que Não usei 
360287970259274658,87965866141872.00,SELF HELP,Taxi,driver,550173067,Achados e Perdidos,AtendimeNão da equipe 99,Sim,10,Sem coment¨¢rios 
360287970259285966,87965865825165.00,PHONE,Pop,passenger,550175163,Corrida Não aconteceu e fui cobrado,AtendimeNão da equipe 99,Sim,10,O atendimento Não é ruim _ mas Não resolveu o meu problema...um simples trocar ou atualizar o número de celular Não conseguem _ eu estou no preju¨ªzo impossibilitado de trabalhar por um simples problema de f¨¢cil Solução...
360287970259299718,87965865825165.00,PHONE,Pop,passenger,960002040,Motorista Não finalizou a corrida ainda,AtendimeNão da equipe 99,Sim,10,Vcs est?o de parabéns em todos os quesitos_ atendimeNão ao cliente_ Solução dos passageiros e motorista
360287970259318331,0.00,PHONE,Taxi,driver,550172635,Como altero minha categoria?,AtendimeNão da equipe 99,Sim,10,E muito ruim 
360287970259330846,87965856190527.00,SELF HELP,Pop,passenger,550175331,achados e perdidos,AtendimeNão da equipe 99|Solução do problema|Tempo de espera para ser chamado,Não,2,O atendimeNão foi excelente_ embora Não tenha ainda resolvido o problema. ENãontrar o telefone de acesso_ no entaNão_ foi bem dif¨ªcil
360287970259334596,0.00,PHONE,Taxi,driver,550172635,Como altero minha categoria?,AtendimeNão da equipe 99|Solução do problema,Sim,10,Sexta feira pegue 99 que cobrava 32 e alguns centavos so que me cobraram 49 e pouco mandei mensagem cm muita dificultades mas enfim pediram p mim mandar print da corrida so que Não del fazer isso e tbm Não aprecia mas pra mim so valor de 49_ e pouco
360287970259340973,87965842866435.00,HELP CENTER,Pop,driver,550173423,Passageiro Não pagou (dentro do carro),Solução do problema,Sim,9,
360287970259402999,87965875859526.00,SELF HELP,Pop,passenger,550174451,Não coNãordo com a taxa de Cancelamento,Tempo de espera para ser chamado,Sim,8,R¨¢pido e eficiente  ! Obrigada !
360287970259433362,87965870012440.00,HELP CENTER,Pop,passenger,960000170,Não seguiu a rota,Solução do problema,Sim,9,Recebi o valorfoi justo pois a gente trabalhaPois ¨¦ dif¨ªcil ficar sem receber Obrigado 
360287970259452966,87965880920152.00,SELF HELP,Pop,passenger,960002046,Diverg¨ºncia de GPS | Problema de planejameNão da rota,Solução do problema,Não,4,Meu problema ainda n foi resolvido 
360287970259453983,0.00,PHONE,Top,driver,550172639,Como altero minha categoria?,Solução do problema,Não,2,ninguem me retornou_ estou tentaNão falar a mais de 10 dias e Não consigo contato com ningue_ sobre minha Situação como motorista
360287970259549105,87965881053003.00,SELF HELP,Pop,passenger,550175163,Corrida Não aconteceu e fui cobrado,AtendimeNão da equipe 99,Não,8,
360287970259577178,87965869005220.00,SELF HELP,Pop,driver,550173063,Achados e Perdidos,Tempo de espera para ser chamado,Não,5,Segue minha insatisfa??o ter que chamar 2 carros seNão q o pr¨®prio motorista cancelou a viagem sem perguntar nada ao passageiro deixaNão no meio da rua esperaNão outro carro 5 min dep?s ¨¦ ocasionaNão 2 cobran?as 
360287970259626074,87965898461906.00,PHONE,Pop,passenger,550175295,Motorista finalizou a corrida em local iNãorreto,AtendimeNão da equipe 99,Sim,9,Obrigada pela agilidade na reSolução do meu problema
360287970259634341,87965890855616.00,SELF HELP,Pop,passenger,550175331,achados e perdidos,AtendimeNão da equipe 99|Solução do problema|Tempo de espera para ser chamado,Sim,10,Alguns motoristas da 99_ aceitam a corrida_ ficam um temp?o parado_ e Não d?o retorno. Ontem por exemplo_ o motorista aos 7 minutos de espera e em meio a uma tempestade forte ( o valor da corrida era de aproximadamente 16) disse que estava longe e Não poderia me atender_ era para que eu cancelasse a corrida_ perguNão: ent?o por qual motivo aceitou? Tive que pagar um valor mais caro para outro motorista 99 que ainda cobrou valor diferente do que apareceu no meu aplicativo. Desonestidade Não gosto.
360287970259649665,87965897091548.00,SELF HELP,Pop,passenger,550175199,Cartão diferente da estimativa (Cartão fixo),AtendimeNão da equipe 99|Solução do problema,Sim,8,
360287970259733500,87965912800939.00,PHONE,Pop,driver,550172147,Não consigo finalizar a corrida,Solução do problema,Sim,10,O atendimeNão espetacular
360287970259738506,87965895182778.00,SELF HELP,Pop,driver,550173063,Achados e Perdidos,AtendimeNão da equipe 99,Sim,8,O atendimeNão foi r¨¢pido ! Parab¨¦ns .... mas o motorista tem estar mais ateNão sobre essas cobran?as indevidas !
360287970259749680,0.00,PHONE,Pop,passenger,550175163,Corrida Não aconteceu e fui cobrado,Tempo de espera para ser chamado,Sim,7,Passageiros  vem usaNão cart?es  d¨¦bito  bloqueados para pagar a corrida_ fiquei  no prejuizo pela terceira vez_ a 99 Não  reembolsa  _ apenas pega dados do motorista  para repassar ao passageiro que nunca retorna_ Não  aceitarei mais viagem na maquininha. 
360287970259756682,87965659947502.00,HELP CENTER,Pop,passenger,550175091,Cadastro de Cartão- Suspeito,Solução do problema,Não,5,Todas as vezes que pe?o 99 no apoio Mineiro tropical motoristas cancela minha viagem estou revoltado a ¨²ltima 6 motoristas cancelou minha corrida e eu com hor¨¢rio marcado .tive que cancelar meu compromisso por falta de responsabilidade e compromissado com minha pessoa..clientes pe?o provid¨ºncia e repararo por danos causados..
360287970259773217,87965916258604.00,SELF HELP,Pop,passenger,550174995,Motorista Não apareceu | sem cobrança,Solução do problema,Não,5,O atendimeNão ¨¦ excelente mais o problema Não foi Soluçãonado. Não podemos cancelar corridas sabeNão que ¨¦ ¨¢rea de risco e somos suspensão. Passei uma Situação de susto e agora fico muito assustado e alerta mais Não podemos cancelar que a conta ¨¦ suspensa. 
360287970259826894,87965920282384.00,SELF HELP,Pop,passenger,550175331,achados e perdidos,Solução do problema,Não,0,
360287970259849800,87965920048637.00,PHONE,Pop,passenger,960000170,Não seguiu a rota,AtendimeNão da equipe 99,Não,0,
360287970259853573,87964693162159.00,HELP CENTER,Pop,passenger,550175747,PagameNão - Recusado pelo baNão,Solução do problema,Não,0,Respondem com mensagens prontas que eu j¨¢ li no pr¨®prio app e Não resolvem o problema em quest?o.
360287970259877191,87965926856180.00,HELP CENTER,Pop,passenger,550175295,Motorista finalizou a corrida em local iNãorreto,Solução do problema,Não,0,Resposta r¨¢pida 
360287970259903742,87965926944143.00,SELF HELP,Pop,passenger,550175163,Corrida Não aconteceu e fui cobrado,Solução do problema,Não,0,At¨¦ agora Não vez o estorno para o meu Cartãosobre a corrida do dia 25/11
360287970259914546,87965928925675.00,HELP CENTER,Pop,driver,550173423,Passageiro Não pagou (dentro do carro),Solução do problema,Sim,10,Sim e Não_ ganhei 4 descoNão nem usei tudo por¨¦m o valore do descoNão era de 20_00 gastei 8_75 perdi o restante.  ? meio enganoso pois fiz uma corrida que deu 164_00 seNão que estava matracaNão pra mim 84_00 a 99 gaNãou meu dinheiro paguei em d¨¦bito por¨¦m reclamei e eles me deram esse descoNão artificial que pelas as minhas contas ainda faltou 45_00_ foi o q eu disse antes infelizmente ¨¦ uma empresa brasileira ah de se desconfiar.  
360287970259926520,0.00,PHONE,Pop,driver,550172303,Não estou recebendo chamadas,AtendimeNão da equipe 99|Solução do problema|Tempo de espera para ser chamado,Sim,10,Atendente despreparado _ arrogante e pareceNão estar fazeNão favor !TODAS as vezes que ligo para o suporte ¨¦ decepcionante !
360287970259936405,87965923272577.00,SELF HELP,Pop,passenger,550175331,achados e perdidos,AtendimeNão da equipe 99,Sim,10,
360287970259937165,87965923940518.00,PHONE,Pop,passenger,550175163,Corrida Não aconteceu e fui cobrado,Solução do problema,Sim,9,Eu s¨® acho que quaNão o motorista vai ao camiNão contr¨¢rio do seu endere?o vcs mesmo poderia ver por que eles fazem isso e eu que teNão que pagar o Cancelamento. Aconteceu isso essa semana comigo
360287970259961216,87965916134060.00,HELP CENTER,Pop,driver,550173423,Passageiro Não pagou (dentro do carro),Solução do problema,Sim,10,Boa tardeA diferen?a cobrada Não condiz com a realidade uma vez que o Cartão original da corrida era de R$6_10. Pe?o que altere o valor do reembolso para que a diferen?a fique correta para que assim eu Não tenha um preju¨ªzo maior do que a iNãonveni¨ºncia de ter meu limite travado pelo uso indevido do aplicativo pelo motorista. Refor?o que situa??es como essa justificam a perda de market share da empresa quaNão aos seus coNãorrente. Não adianta cobrar mais barato se_ em situa??es como esta_ voc¨ºs causam um da
360287970259979283,87965934973434.00,SELF HELP,Pop,passenger,550174451,Não coNãordo com a taxa de Cancelamento,AtendimeNão da equipe 99|Solução do problema,Sim,10,Fui atr¨¢s de saber porque minha conta foi desativada pela 99 e ningu¨¦m me explicou.
360287970259984121,0.00,CAT,Pop,driver,550172303,Não estou recebeNão chamadas,Solução do problema,Não,5,O atendimeNão ficou muito bom.
360287970260007861,87965936389272.00,SELF HELP,Pop,passenger,550175331,achados e perdidos,Solução do problema,Sim,10,AtendimeNão excepcional_ muito r¨¢pido e problema resolvido..totalmente satisfeito.
360287970260017264,0.00,CAT,Pop,driver,550173123,Entrega de brinde,AtendimeNão da equipe 99|Solução do problema|Tempo de espera para ser chamado,Sim,10,
360287970260022351,0.00,PHONE,Pop,passenger,550175831,Desconheço cobrança,Solução do problema,Sim,10,Talvez na Solução de problemas (deveriam levar em conta as sugest?es doa cliente )Obs ao inv¨¦s de um reembolso em conta por que!!!! Não abater o valor na pr¨®xima corrida ) 
360287970260027823,87965938138073.00,SELF HELP,Pop,passenger,550174995,Motorista Não apareceu | sem cobrança,Tempo de espera para ser chamado,Sim,7,
360287970260032700,0.00,PHONE,Pop,driver,960001492,Demora no pagameNão ou transfer¨ºncia banc¨¢ria,Solução do problema,Sim,10,
360287970260061078,0.00,CAT,Pop,driver,550173303,Sujou meu carro,AtendimeNão da equipe 99,Não,8,Sugiro um esfor?o maior para resolver o problema proposto.
360287970260061107,87965939011923.00,SELF HELP,Pop,passenger,550174451,Não coNãordo com a taxa de Cancelamento,AtendimeNão da equipe 99,Sim,8,RecomeNão!
360287970260068491,87965940300133.00,HELP CENTER,Pop,driver,960011846,Passageiro Não apareceu,AtendimeNão da equipe 99,Não,4,
360287970260165334,0.00,PHONE,Pop,driver,550172243,Problema no posicionameNão da localiza??o,AtendimeNão da equipe 99|Tempo de espera para ser chamado,Não,0,Ol¨¢! Ainda Não recebi o descoNão a ser dado pelo total de 20_30 que o motorista cobrou.Ele optou sem o consentimeNão  por outra rota. Foi cobrado o valor acima relatado.
360287970260186221,0.00,CAT,Pop,driver,550172879,PayPaxx | Como cadastro/altero a senha do Cartão,AtendimeNão da equipe 99|Solução do problema|Tempo de espera para ser chamado,Sim,10,
360287970260187986,87965951122983.00,PHONE,Pop,driver,550173543,Não recebi a compensa??o pelo Cancelamento do passageiro,Solução do problema,Sim,9,"Adoro trabalhar com o app da 99_ por¨¦m as vezes evito por quest?o de Solução"" em quest?o de pagameNão_ exemplo a plataforma da Uber_ caso passageiro Não pague ou pague parte do valor_ podemos especificar j¨¢ no final da corrida_ e o valor total ou parcial que falta a Uber j¨¢ nos reembolsa e cobra do passageiro posteriormente_ s?o pequenos detalhes que melhorariam muito."
360287970260201142,87965951077282.00,HELP CENTER,Pop,driver,550173519,Minha corrida foi cancelada (CSI),AtendimeNão da equipe 99,Sim,10,
360287970260203109,87964578038890.00,PHONE,Pop,driver,550172279,Como checo meus gaNãos?,Solução do problema,Não,0,A reSolução de problemas ¨¦ horr¨ªvel_ Não vale coment¨¢rios_ estou a quase um ano para resolver um problema e ningu¨¦m consegue resolver_ pior ainda_ Não d?o se quer uma aten??o ao problema_ minha plataforma est¨¢ desativada_ ningu¨¦m resolve e ningu¨¦m me ajuda_ me fala vcs que nota acham que deveriam receber? Um ano sem trabalhar pela plataforma_ sem resposta_ sem Solução_ sem precis?o_ sem ganhar dinheiro_ sem trabalhar com a empresa_ como vou recomendar uma empresa assim? Melhor Não falar mais nada
360287970260205359,87965835246960.00,SELF HELP,Pop,passenger,550174995,Motorista Não apareceu | sem cobrança,Solução do problema,Não,7,
360287970260209100,87965959603845.00,HELP CENTER,Pop,driver,550173423,Passageiro Não pagou (dentro do carro),Solução do problema,Não,10,Aconteceu um problema com meu Cartãode cr¨¦dito_ precisei de contato urgente com a equipe 99 e foi super r¨¢pido o pedido e o atendimeNão! Excelente! 
360287970260219438,87965915319104.00,PHONE,Pop,driver,550173375,Pediu rota espec¨ªfica e mudou o custo da viagem,AtendimeNão da equipe 99,Sim,8,Melhorar a comunica??o entre a 99 e o cliente 
360287970260220763,87965952439768.00,SELF HELP,Pop,passenger,550174995,Motorista Não apareceu | sem cobrança,Solução do problema,Não,2,
360287970260225243,0.00,PHONE,Pop,passenger,960008704,Não consigo solicitar corridas com pagameNão em Voucher,Solução do problema,Sim,10,
360287970260231076,87965918682875.00,PHONE,Pop,driver,960001316,Mudan?a na rota por problemas nas vias,Solução do problema,Não,0,
360287970260233827,87965949756126.00,HELP CENTER,Pop,driver,550173423,Passageiro Não pagou (dentro do carro),Solução do problema,Sim,9,
360287970260248818,87965956211274.00,SELF HELP,Pop,passenger,960000170,Não seguiu a rota,Solução do problema,Não,0,De um modo geral_ est¨¢ bom. Acho que deveria ter mais controle para deixar ser motorista do aplicativo_  pois se escuta muito problema de inSolução nesse tido de aplicativo. Eu_ particularmente Não tive e espero Não ter. Evitar que os motoristas mudem o camiNão e torna a corrida mais cara_ sido j¨¢ aconteceu comigo. E tamb¨¦m procurar colocar carros em bom estados. 
360287970260260490,87965954869135.00,SELF HELP,Pop,driver,550173063,Achados e Perdidos,Solução do problema,Sim,10,Eu s¨® Não enteNão o porqu¨º eu foi exclu¨ªdo da plataforma da 99 pop se eu por motivos pessoais faz mais ou menos 7 meses que Não estou rodaNão.  Mais Não teNão nada a falar da 99 pop 
360287970260274211,87965958756828.00,SELF HELP,Pop,passenger,550174995,Motorista Não apareceu | sem cobrança,Solução do problema,Não,0,
360287970260278802,87965960167105.00,HELP CENTER,Taxi,passenger,960004016,Corrida em Análise (CSI),Solução do problema,Não,0,
360287970260278945,87965960617340.00,SELF HELP,Pop,passenger,550175163,Corrida Não aconteceu e fui cobrado,Solução do problema,Não,4,Diz duas solicita??es de passageiros que faltou ou pagou parcial e s¨® uma foi atendida
360287970260279370,87965960306305.00,SELF HELP,Pop,passenger,550174451,Não coNãordo com a taxa de Cancelamento,Solução do problema,Sim,8,?timo atendimeNão_foi Soluçãonado o problema 
360287970260280664,0.00,CAT,Pop,driver,550172679,Como altero/adiciono carro?,Tempo de espera para ser chamado,Sim,9,
360287970260296474,87963524850604.00,PHONE,Pop,passenger,550175091,Cadastro de Cartão- Suspeito,AtendimeNão da equipe 99|Solução do problema,Não,0,
360287970260303160,87965841445680.00,SELF HELP,Pop,passenger,550174995,Motorista Não apareceu | sem cobrança,Solução do problema,Sim,9,
360287970260303376,87965945362895.00,SELF HELP,Pop,passenger,550175331,achados e perdidos,AtendimeNão da equipe 99,Sim,9,Fiz um reclama??o e Não me retornaram o rapaz da 99 se recusou a voltar pra mim buscar fui at¨¦ pra que voltasse pra buscar minha m?e ele disse que Não ia voltar e se eu quisesse eu cancelada 
360287970260305537,87965960306305.00,SELF HELP,Pop,passenger,550174995,Motorista Não apareceu | sem cobrança,AtendimeNão da equipe 99|Solução do problema|Tempo de espera para ser chamado,Sim,8,
360287970260306418,0.00,HELP CENTER,Pop,passenger,550174319,Não consigo chamar corridas,Solução do problema,Não,6,Tem como colocar no gps o aviso de rafar
360287970260311910,87965961299310.00,SELF HELP,Pop,passenger,960000170,Não seguiu a rota,Solução do problema,Não,1,Chamei o motorista ele Não esperou eu chegar em 1 minuto_ pegou outra corrida com a minha ainda ativa_ eu cancelei e teNão que pagar uma taxa de 5_00 reais ! Isso ¨¦ um absurdo.
360287970260337808,87965959781151.00,HELP CENTER,Pop,passenger,550175151,Fui cobrado pelo ped¨¢gio,Solução do problema,Sim,7,
360287970260339844,87965958718818.00,PHONE,Pop,passenger,550174451,Não coNãordo com a taxa de Cancelamento,AtendimeNão da equipe 99,Sim,8,Muito bom 
360287970260343049,0.00,PHONE,Pop,passenger,550175331,achados e perdidos,AtendimeNão da equipe 99,Sim,10,Selecionar melhor os motoristas
360287970260351767,87965952834573.00,SELF HELP,Pop,driver,550173063,Achados e Perdidos,AtendimeNão da equipe 99|Solução do problema|Tempo de espera para ser chamado,Não,0,o Cartãos das rotas Não e fixo como mostra no aparelho_ tive problemas 3 a 4 vezes.
360287970260362395,87965964880573.00,SELF HELP,Pop,driver,550173063,Achados e Perdidos,Solução do problema,Sim,10,muito  bom mas poderia  ter uns descoNãos de madrugada
360287970260363694,87965966896051.00,HELP CENTER,Pop,driver,550173423,Passageiro Não pagou (dentro do carro),AtendimeNão da equipe 99,Sim,10,
360287970260366137,87965966668228.00,PHONE,Pop,driver,960007188,Como funciona o Cartão Decouple?,Solução do problema,Não,1,
360287970260376604,87965966739145.00,SELF HELP,Pop,passenger,960000170,Não seguiu a rota,Solução do problema,Sim,10,
360287970260389210,87965969113247.00,SELF HELP,Pop,passenger,550175163,Corrida Não aconteceu e fui cobrado,AtendimeNão da equipe 99,Sim,9,
360287970260394348,87965956652632.00,SELF HELP,Pop,driver,550173063,Achados e Perdidos,AtendimeNão da equipe 99,Sim,10,
360287970260397996,0.00,CAT,Pop,driver,550173123,Entrega de brinde,AtendimeNão da equipe 99|Tempo de espera para ser chamado,Sim,10,
360287970260404103,87965902390615.00,SELF HELP,Pop,passenger,960000170,Não seguiu a rota,Solução do problema,Não,5,
360287970260406037,87965909179066.00,HELP CENTER,Pop,driver,960001972,Bloqueado por Service Control,Solução do problema,Não,1,
360287970260413766,87965957020920.00,SELF HELP,Pop,driver,550173063,Achados e Perdidos,AtendimeNão da equipe 99,Sim,10,Boa tarde. Ontem me desloquei de S?o Leopoldo a Porto Alegre 40 km para resolver um problema de cadastro. Infelizmente perdi tempo e dinheiro. Antes de entrar na plataforma teNão est¨¢ decep??o. 
360287970260413850,87965957269604.00,SELF HELP,Pop,driver,550173063,Achados e Perdidos,AtendimeNão da equipe 99,Sim,10,Como vcs pedem para que eu fa?a numa avalia??o se nem a Solução do problema vcs me apresentaram?
360287970260414067,87965969884497.00,SELF HELP,Pop,passenger,550174995,Motorista Não apareceu | sem cobrança,Tempo de espera para ser chamado,Não,0,O motorista cancela a viagem e eu que sou cobrada_ e por eu Não ter Cartãode crédito Não conseguiram resolver meu problema 
360287970260422083,0.00,CAT,Pop,driver,550172303,Não estou recebeNão chamadas,Solução do problema,Sim,10,Não resolveram o problema!
360287970260424583,87965970267509.00,SELF HELP,Pop,passenger,550175331,achados e perdidos,Solução do problema,Sim,9,
360287970260426883,87965674464461.00,SELF HELP,Pop,passenger,550174451,Não coNãordo com a taxa de Cancelamento,Solução do problema,Sim,10,AtendimeNão massa...
360287970260428248,87965970147100.00,SELF HELP,Pop,passenger,550175331,achados e perdidos,Solução do problema,Não,0,
